symbol,stockPrices
XNSE/POWERMECH,Power Mech Projects Ltd. (POWERMECH) Adjusted Stock Prices
XNSE/P2NETWORK18,Network 18 Media & Investments Ltd. (P2NETWORK18) Adjusted Stock Prices
XNSE/MUNJALSHOW,Munjal Showa Ltd. (MUNJALSHOW) Adjusted Stock Prices
XNSE/LAKSHVILAS,Lakshmi Vilas Bank Ltd. (LAKSHVILAS) Adjusted Stock Prices
XNSE/FINCABLES,Finolex Cables Ltd. (FINCABLES) Adjusted Stock Prices
XNSE/SKIPPER,Skipper Ltd (SKIPPER) Adjusted Stock Prices
XNSE/CRISIL,Crisil Ltd. (CRISIL) Adjusted Stock Prices
XNSE/TECHNOELEC,Techno Electric & Engineering Co. Ltd.
XNSE/LOVABLE,Lovable Lingerie Ltd (LOVABLE) Adjusted Stock Prices
XNSE/HITECHGEAR,The Hi-Tech Gears Ltd (HITECHGEAR) Adjusted Stock Prices
XNSE/PREMIERPOL,Premier Polyfilm Ltd. (PREMIERPOL) Adjusted Stock Prices
XNSE/KOVAI,Kovai Medical Center & Hospital Ltd.
XNSE/BFINVEST,BF Investment Ltd (BFINVEST) Adjusted Stock Prices
XNSE/OILCOUNTUB,Oil Country Tubular Ltd. (OILCOUNTUB) Adjusted Stock Prices
XNSE/EXCELCROP,Excel Crop Care Ltd. (EXCELCROP) Adjusted Stock Prices
XNSE/VASCONEQ,Vascon Engineers Limited (VASCONEQ) Adjusted Stock Prices
XNSE/ICNX100,ICICI Prudential Asset Management Company Ltd. (ICNX100) Adjusted Stock Prices
XNSE/N4ICIBK1107,ICICI Bank Ltd. (N4ICIBK1107) Adjusted Stock Prices
XNSE/BSELINFRA,BSEL Infrastructure Realty Ltd. (BSELINFRA) Adjusted Stock Prices
XNSE/N2SHRIRAMCIT,Shriram City Union Finance Ltd. (N2SHRIRAMCIT) Adjusted Stock Prices
XNSE/MANGTIMBER,Mangalam Timber Products Ltd. (MANGTIMBER) Adjusted Stock Prices
XNSE/N5L_TFINANCE,L&T Finance Limited. (N5L.TFINANCE) Adjusted Stock Prices
XNSE/N3MUTHOOTFIN,Muthoot Finance Ltd. (N3MUTHOOTFIN) Adjusted Stock Prices
XNSE/MINDACORP,Minda Corporation Ltd (MINDACORP) Adjusted Stock Prices
XNSE/AIAENG,AIA Engineering Ltd. (AIAENG) Adjusted Stock Prices
XNSE/SHIV_VANI,SVOGL Oil Gas & Energy Ltd. (SHIV_VANI) Adjusted Stock Prices
XNSE/GUJNREDVR,Gujarat NRE Coke Ltd (GUJNREDVR) Adjusted Stock Prices
XNSE/AMRUTANJAN,Amrutanjan Health Care Ltd (AMRUTANJAN) Adjusted Stock Prices
XNSE/GEINDSYS,GEI Industrial Systems Ltd. (GEINDSYS) Adjusted Stock Prices
XNSE/NUSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NUSRTRANSFIN) Adjusted Stock Prices
XNSE/KESARENT,Kesar Enterprises Ltd. (KESARENT) Adjusted Stock Prices
XNSE/BIOCON,Biocon (BIOCON) Adjusted Stock Prices
XNSE/N4SBIN,State Bank of India (N4SBIN) Adjusted Stock Prices
XNSE/IGL,Indraprastha Gas (IGL) Adjusted Stock Prices
XNSE/PAGEIND,Page Industries Ltd. (PAGEIND) Adjusted Stock Prices
XNSE/N8IIFLFIN,India Infoline Finance Ltd (N8IIFLFIN) Adjusted Stock Prices
XNSE/SHARIABEES,Goldman Sachs Asset Management (India) Pvt. Ltd. (SHARIABEES) Adjusted Stock Prices
XNSE/NUCLEUS,Nucleus Software Exports Ltd. (NUCLEUS) Adjusted Stock Prices
XNSE/BROOKS,Brooks Laboratories Ltd (BROOKS) Adjusted Stock Prices
XNSE/SERVALL,Servalakshmi Paper Ltd (SERVALL) Adjusted Stock Prices
XNSE/PEL,Piramal Enterprises Ltd (PEL) Adjusted Stock Prices
XNSE/JSL,Jindal Stainless Ltd (JSL) Adjusted Stock Prices
XNSE/N8SRTRANSFIN,Shriram Transport Finance Co. Ltd. (N8SRTRANSFIN) Adjusted Stock Prices
XNSE/KSL,Kalyani Steels Ltd. (KSL) Adjusted Stock Prices
XNSE/ESL,Electrosteel Steels Ltd (ESL) Adjusted Stock Prices
XNSE/SICAL,Sical Logistics Ltd (SICAL) Adjusted Stock Prices
XNSE/PROZONINTU,Prozone Intu Properties Ltd (PROZONINTU) Adjusted Stock Prices
XNSE/GOENKA,Goenka Diamond & Jewels Limited (GOENKA) Adjusted Stock Prices
XNSE/GUJRATGAS,Gujarat Gas Co. Ltd.
XNSE/ELGIRUBCO,Elgi Rubber Co Ltd (ELGIRUBCO) Adjusted Stock Prices
XNSE/JAIBALAJI,Jai Balaji Industries Ltd. (JAIBALAJI) Adjusted Stock Prices
XNSE/UGARSUGAR,Ugar Sugar Works Ltd. (UGARSUGAR) Adjusted Stock Prices
XNSE/ABGSHIP,ABG Shipyard Ltd. (ABGSHIP) Adjusted Stock Prices
XNSE/SANGHIIND,Sanghi Industries Ltd. (SANGHIIND) Adjusted Stock Prices
XNSE/NBSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NBSRTRANSFIN) Adjusted Stock Prices
XNSE/SUBROS,Subros Ltd. (SUBROS) Adjusted Stock Prices
XNSE/TATACOFFEE,Tata Coffee Ltd. (TATACOFFEE) Adjusted Stock Prices
XNSE/ATLASCYCLE,Atlas Cycles(Haryana) Ltd. (ATLASCYCLE) Adjusted Stock Prices
XNSE/NIBL,NRB Industrial Bearings Ltd (NIBL) Adjusted Stock Prices
XNSE/ANGIND,ANG Industries Ltd (ANGIND) Adjusted Stock Prices
XNSE/N3SHRIRAMCIT,Shriram City Union Finance Ltd. (N3SHRIRAMCIT) Adjusted Stock Prices
XNSE/KARURKCP,Karur K.C.P. Packkagings Ltd.
XNSE/N5MUTHOOTFIN,Muthoot Finance Ltd. (N5MUTHOOTFIN) Adjusted Stock Prices
XNSE/APARINDS,Apar Industries Ltd. (APARINDS) Adjusted Stock Prices
XNSE/CAPF,Capital First Ltd. (CAPF) Adjusted Stock Prices
